"","Raw_Intensity","Log_Intensity"
"Mean",8219139.39390172,14.6350583883405
"Median",2100130.625,14.5575101002876
"SD",28895756.7624821,1.4503092682847
"Min",22333.822265625,10.013857501956
"Max",1004161984,20.7274191838477
"Q1.25%",900369.53125,13.7105605435197
"Q3.75%",5311091.25,15.4853078805701
"N",39160,39160
"N_missing",0,0
