"glycan_composition","disease_status","glycan_intensity","total_group_intensity","relative_percentage"
"hexnac(2)hex(7)","MECFS",1444449562.89844,187210136335.252,0.771565894440538
"hexnac(5)hex(5)neuac(2)fuc(1)","MECFS",1372873501.1875,187210136335.252,0.733332888946241
"hexnac(2)hex(5)","MECFS",1340008453.15625,187210136335.252,0.715777724106023
"hexnac(3)hex(5)","MECFS",1302530208.73438,187210136335.252,0.695758378382798
"hexnac(2)hex(8)","MECFS",1225139733.99219,187210136335.252,0.654419551192588
"hexnac(4)hex(3)","MECFS",1103516962.875,187210136335.252,0.589453639892044
"hexnac(5)hex(5)neuac(1)","MECFS",980804602.5,187210136335.252,0.523905714562162
"hexnac(2)hex(9)","MECFS",835696985.414062,187210136335.252,0.446395158816355
"hexnac(3)hex(4)neuac(1)","MECFS",790827942.574219,187210136335.252,0.422427950780411
"hexnac(5)hex(4)neuac(1)fuc(1)","MECFS",655341564.851562,187210136335.252,0.350056667699868
"hexnac(4)hex(4)neuac(1)","MECFS",639350439.398438,187210136335.252,0.341514862343512
"hexnac(3)hex(4)neuac(1)fuc(1)","MECFS",601977370.65625,187210136335.252,0.321551697167851
"hexnac(5)hex(6)neuac(2)fuc(1)","MECFS",543891750.640625,187210136335.252,0.290524734016878
"hexnac(3)hex(6)neuac(1)","MECFS",528801864.707031,187210136335.252,0.282464333961097
"hexnac(3)hex(5)neuac(1)","MECFS",457548238.773438,187210136335.252,0.244403560474989
"hexnac(3)hex(6)","MECFS",336660833.078125,187210136335.252,0.179830451314474
"hexnac(5)hex(4)","MECFS",332532993.75,187210136335.252,0.177625528328502
"hexnac(6)hex(7)neuac(2)fuc(1)","MECFS",263539059.171875,187210136335.252,0.140771789568026
"hexnac(5)hex(3)","MECFS",230583755,187210136335.252,0.123168413587967
"hexnac(4)hex(6)neuac(1)","MECFS",224503136.097656,187210136335.252,0.1199203956006
"hexnac(5)hex(4)neuac(1)","MECFS",206203715.84375,187210136335.252,0.110145593545472
"hexnac(6)hex(7)neuac(1)","MECFS",191453691.837891,187210136335.252,0.102266733834881
"hexnac(5)hex(5)","MECFS",145162743.861328,187210136335.252,0.0775400022151438
"hexnac(2)hex(10)","MECFS",88180576.2460938,187210136335.252,0.0471024582174236
