"feature","mecfs_mean","healthy_mean","mecfs_median","healthy_median","u_statistic","p_value","significant","effect_size_r"
"Fucose 0",69.6812209452724,68.243980195379,70.874969534487,68.5706324881583,8,0.403395304892628,FALSE,0.264231303630327
"Fucose 1",30.3187790547276,31.756019804621,29.125030465513,31.4293675118417,17,0.403395304892628,FALSE,0.264231303630327
