"feature","mecfs_mean","healthy_mean","mecfs_median","healthy_median","u_statistic","p_value","significant","effect_size_r"
"NeuAc 1",29.6162511514422,27.773118350656,29.8318303680234,28.0253226199172,0,0.0121857803553448,TRUE,0.79269391089098
"NeuAc 2",39.8447234351502,40.9776556205905,40.4489337822671,41.1857886399638,18,0.296269871484286,FALSE,0.330289129537908
"NeuAc 3",4.80534755927786,5.76026835825058,4.76529160739687,5.63475899524779,16,0.530869303968508,FALSE,0.198173477722745
"NeuAc 0",25.7336778541297,25.488957670503,24.9573482817451,25.327389244915,13,1,FALSE,0
