"sample","disease_status","glycan_composition","psm_count","total_psms","relative_percentage"
"M15","MECFS","hexnac(6)hex(7)neuac(2)fuc(1)",23,4218,0.545282124229493
"M15","MECFS","hexnac(3)hex(5)neuac(1)",19,4218,0.45045045045045
"M15","MECFS","hexnac(4)hex(6)neuac(1)",19,4218,0.45045045045045
"M15","MECFS","hexnac(5)hex(3)",16,4218,0.379326695116169
"M15","MECFS","hexnac(5)hex(4)",16,4218,0.379326695116169
"M15","MECFS","hexnac(5)hex(5)",16,4218,0.379326695116169
"M15","MECFS","hexnac(3)hex(4)neuac(1)fuc(1)",15,4218,0.355618776671408
"M15","MECFS","hexnac(3)hex(6)neuac(1)",15,4218,0.355618776671408
"M15","MECFS","hexnac(3)hex(6)",12,4218,0.284495021337127
"M15","MECFS","hexnac(6)hex(7)neuac(1)",9,4218,0.213371266002845
"M15","MECFS","hexnac(2)hex(10)",6,4218,0.142247510668563
"M15","MECFS","hexnac(5)hex(4)neuac(1)",4,4218,0.0948316737790422
