"protein","n_sig_coords","min_p","max_effect","mean_effect"
"P02675",1,0.00968324864158315,1.28275829845077,1.28275829845077
"P0DOX5",3,0.0217904053305681,2.76172778335133,1.58135882913822
"P0DOX2",1,0.0282733587520763,1.95126821570988,1.95126821570988
