"Category","Count","Proteins"
"Healthy only",3,"P0DP01; P02787; P03952"
"ME/CFS only",5,"P00734; P23142; P01011; P01019; P0DOX6"
"Common",21,"P10909; P10721; P01871; P0DOX5; P01861; P13473; P01860; P01859; P04114; P29622; P98161; P02749; P05090; P00450; P02675; P02751; P04196; P02790; P01023; P00738; P02679"
