"Category","Count","Proteins"
"Healthy only",3,"P29622; P00450; P43251"
"ME/CFS only",7,"P00736; P0DOX2; P03951; P02675; P01019; P01023; P12259"
"Common",15,"P10909; P10721; P01871; P01008; P08571; P20851; P98161; P08603; P02749; P01591; P05090; P02787; P02760; P00738; P02790"
