"Category","Count","Proteins"
"Healthy only",3,"P06681; P26045; P0DOX6"
"ME/CFS only",4,"P08571; P01860; P01024; P00738"
"Common",12,"P01871; P0DOX5; P01861; P13473; P01859; P98161; P0DOX2; P08603; P05160; Q14624; P49238; P27918"
