"Category","Count","Proteins"
"Healthy only",6,"Q68D85; P04004; P25311; P80108; P01023; O42043"
"ME/CFS only",3,"P05155; P04217; P04275"
"Common",15,"P10909; P10721; P02749; P08603; P00450; P23142; P01042; P51884; P19652; P02763; P05090; P49238; P00738; P02787; P02765"
