"Category","Count","Proteins"
"Healthy only",5,"P01859; Q9BXR6; O95445; Q92496; P08519"
"ME/CFS only",6,"P29622; P0DOX6; P05186; Q08380; Q9HDC9; P00742"
"Common",88,"P01031; P04114; P02763; P10909; P10721; P01871; P00748; P05156; P01008; P00734; O75882; P12259; P08571; P43652; Q06033; P08185; P20851; P02790; P05155; P00736; P02750; P08603; P26927; P48740; P25311; P19823; P05543; P05546; P06276; Q03591; P02749; P0DOX2; P80108; P03951; P04278; P01011; Q68D85; P02751; P98161; P22792; P03952; P00738; P49908; P01591; P05090; Q6EMK4; P00450; P06681; P01042; P0C0L4; P0C0L5; Q02985; Q04756; P13671; P04004; P05160; P43251; P07358; P02675; P00747; P19652; P27169; P01019; P02765; P02787; Q9UM54; Q14624; Q9NZP8; P04196; P02760; P49238; P04003; P04217; P00751; P02671; P02679; P19827; P01023; P01009; P04275; P02774; P13473; P55058; P07357; P04070; Q96KN2; Q9UGM5; P02748; Q96PD5"
