"Category","Count","Proteins"
"Healthy only",8,"P01031; P02751; P98161; P49908; P04004; P05546; O14791; Q96KN2"
"ME/CFS only",12,"P08571; Q9BXR6; P04278; Q6EMK4; P02675; P01019; P04217; P04180; P01023; P01009; Q08380; P04275"
"Common",45,"P02763; P10909; P10721; P01871; P00748; P01008; P00734; Q16610; P43652; P0DOX5; P01861; P08185; P55058; O75882; P02790; P01859; P05155; P02750; P08603; P25311; P05543; P10643; Q03591; P02749; P0DOX2; P80108; P01011; Q68D85; P00738; P17936; P01591; P00450; P23142; P0C0L4; P0C0L5; P51884; P05156; P05090; P01042; P02765; P02787; Q14624; P49238; P27918; P02745; Q02985"
