"Category","Count","Proteins"
"Healthy only",10,"P01860; P10643; P29622; P55058; P01011; P01042; P27918; Q14624; O60271; Q96PD5"
"ME/CFS only",8,"P10909; P02751; P00450; P20851; P00736; P01023; P19827; P07358"
"Common",15,"P01871; P0DOX5; P01861; P01859; P98161; P08603; P0DOX2; P01591; O95445; P02760; P49238; P05546; P02787; P00738; P43251"
