"Category","Count","Proteins"
"Healthy only",2,"P00450; P01042"
"ME/CFS only",6,"P00748; P0DOX6; P02790; P02745; P00738; O00192"
"Common",7,"P01871; P98161; P0DOX2; P01591; P49238; P04114; P27918"
