"Category","Count","Proteins"
"Healthy only",5,"P00736; P01591; P01024; P49908; P08519"
"ME/CFS only",8,"P00748; P80108; P01019; O95445; P49238; P01023; P0DOX2; P10643"
"Common",27,"P02763; P10909; P10721; P05156; P01008; P43652; P02790; P05155; P08603; Q08828; P02749; P00734; P98161; P22792; P05090; P00450; P01042; P01871; P04004; P19652; P02765; P02787; P20851; P00738; P04217; P04180; P00751"
