"Category","Count","Proteins"
"Healthy only",4,"P0DOX5; Q08828; P00734; P80108"
"ME/CFS only",5,"P01859; P00738; P02749; Q12816; P43251"
"Common",5,"P01871; P98161; P0DOX2; P01591; P49238"
