"Category","Count","Proteins"
"Healthy only",7,"P0DOX6; P02774; Q9HCH5; O42043; P98161; P04275; P08519"
"ME/CFS only",9,"P10721; P00734; P29622; P01591; P08603; P01024; P27169; P00751; P10643"
"Common",8,"P01871; P04114; P06681; O95445; P04004; P04196; P01023; P00738"
