"Category","Count","Proteins"
"Healthy only",3,"P0DOX5; P49238; P0DOX2"
"ME/CFS only",5,"P01859; P10643; Q08380; P06276; P04180"
"Common",6,"P01871; P01024; P06681; P0DOX6; O75882; P01023"
