"Category","Count","Proteins"
"Healthy only",3,"P00734; P05155; P04275"
"ME/CFS only",5,"P10909; P05090; P27918; P00450; P98161"
"Common",11,"P01871; P12259; P0DOX5; P01861; P01859; P02749; P0DOX2; O95445; P49238; P08603; Q9HCH5"
