"Category","Count","Proteins"
"Healthy only",4,"P13473; P98161; P04004; P01023"
"ME/CFS only",4,"P01859; P01591; P55058; P02671"
"Common",7,"P01871; P0DOX5; P01861; P0DOX2; P00450; P49238; P02787"
