"Category","Count","Proteins"
"Healthy only",2,"P12259; P04275"
"ME/CFS only",8,"P10909; P10721; P01861; P29622; P26045; P27169; P04004; P10643"
"Common",10,"P01871; O75882; P06681; P02790; P0DOX6; P01024; O95445; P04196; P49238; P01023"
