"Category","Count","Proteins"
"Healthy only",2,"P02749; P00450"
"ME/CFS only",10,"P0DOX5; P05543; P29622; P20851; P04004; P00738; P01023; P05155; P12259; Q13797"
"Common",6,"P01871; P98161; P08603; P02675; O95445; P0DOX2"
