"Category","Count","Proteins"
"Healthy only",4,"O75882; P04004; O42043; Q08380"
"ME/CFS only",1,"P0DP01"
"Common",9,"P01871; P0DOX5; P01861; P01860; P01859; P0DOX2; P05160; O95445; P98161"
