"Category","Count","Proteins"
"Healthy only",2,"P05155; P51884"
"ME/CFS only",7,"P02750; P10643; P05090; P0C0L4; P0C0L5; P02675; P05546; P01023"
"Common",9,"P01871; P0DOX5; P01861; P01859; P0DOX2; P49238; P02787; P08603; P00738"
