"Category","Count","Proteins"
"Healthy only",3,"Q68D85; P26045; P20851"
"ME/CFS only",12,"P00734; P0DOX2; P29622; P01591; Q02985; P05160; P80108; P02765; P01023; Q08380; P04275; P11279"
"Common",12,"P10909; P10721; P01871; P0DOX5; P01859; P08603; P02749; P02675; P02787; P49238; P00738; P02790"
