"Category","Count","Proteins"
"Healthy only",2,"P0DOX5; O75882"
"ME/CFS only",4,"Q9Y561; P49238; P04003; Q08380"
"Common",6,"P01871; P12259; P0DOX6; P01024; P02671; P01023"
