"Category","Count","Proteins"
"Healthy only",5,"P0C0L4; P0C0L5; P49238; P02765; P02671; P04114"
"ME/CFS only",3,"P00450; P02790; O42043"
"Common",6,"P01871; P01024; O75882; P06681; P0DOX6; P01023"
