"Category","Count","Proteins"
"Healthy only",4,"Q15762; P0DOX6; P01023; P01011"
"ME/CFS only",6,"P0DP01; P13473; P00450; P55058; P21439; P04114"
"Common",7,"P01871; P0DOX5; P01861; P01860; P01859; P0DOX2; P98161"
