"Category","Count","Proteins"
"Healthy only",3,"P10909; P43652; O42043"
"ME/CFS only",6,"P01861; P49238; P02765; P02671; P01023; P0DOX2"
"Common",8,"P01871; P01024; O75882; P0C0L4; P0C0L5; P06681; P0DOX6; P03951; P04114"
