"Category","Count","Proteins"
"Healthy only",3,"P08603; P01024; P80108"
"ME/CFS only",9,"P10909; P43652; P23142; P49238; P02787; P02790; P0DOX2; P10721; P19823"
"Common",16,"P0DOX5; P13473; P01859; P98161; P00736; P04114; P29622; P01871; P02675; O95445; P02751; O42043; P01023; P02679; P0DOX6; P02749"
