"Category","Count","Proteins"
"Healthy only",7,"P04114; P02763; P10721; P00748; P01011; P13473; P08697"
"ME/CFS only",8,"P05156; P06681; P05090; P01019; P04004; P04217; P0DOX2; P04180"
"Common",18,"P10909; P01871; P01008; P00734; P05155; P43652; P08603; P02749; P00450; P0C0L4; P0C0L5; P02675; P02765; P02751; P02787; P00738; P02790; P01023; P05186"
