"Category","Count","Proteins"
"Healthy only",10,"P12259; Q08828; P02751; P06681; O95445; P35542; P04275; P08519; P13473; P05155"
"ME/CFS only",5,"P01024; P00751; P55058; P10643; P80108"
"Common",38,"P04114; P02763; P10909; P10721; P01008; P00734; Q06033; O75882; P02790; P43652; P02750; P08603; P25311; P06276; P00748; P02749; P01011; P22792; P00738; P49908; P05090; P00450; P01042; P04004; P19652; P43251; P01019; P02765; P27169; P02787; P20851; Q14624; P04217; P04180; P01023; P01009; P0DOX2; Q96KN2"
