"Category","Count","Proteins"
"Healthy only",1,"P02749"
"ME/CFS only",5,"P08571; P02790; P01871; P01023; P04114"
"Common",5,"P01024; P29622; O75882; P0C0L4; P0C0L5; P0DOX6"
