"Category","Count","Proteins"
"Healthy only",2,"P05156; P26927"
"ME/CFS only",10,"Q6EMK4; P0DOX6; P26045; P01019; P04196; P04217; P02679; Q08380; P48740; P04275"
"Common",37,"P10909; P10721; P01871; O75882; Q16610; P0DOX5; P01861; P13473; P01860; P55058; P01859; P05155; P43652; P08603; P10643; P02749; P00734; P0DOX2; P80108; P02751; P49908; P01591; P17936; P00450; P23142; P0C0L4; P0C0L5; P02790; P51884; P02675; P05090; P02787; P49238; P02765; P27918; P02745; P00738; P01023"
