"Category","Count","Proteins"
"Healthy only",0,""
"ME/CFS only",5,"Q9Y561; Q9BXR6; O75882; P04114; P02671"
"Common",9,"P01871; P0DOX5; P01861; P01860; P01859; P29622; P0DOX6; P01024; P01023"
