"Category","Count","Proteins"
"Healthy only",7,"P02790; P80108; P02787; P27918; P98161; Q96PD5; P08519"
"ME/CFS only",5,"P26045; P25311; P01024; P05546; P01023"
"Common",7,"P10909; P10721; P05090; P19652; P02763; P00734; P00738"
