"Category","Count","Proteins"
"Healthy only",7,"Q9Y561; P08185; P01860; P55058; P0DOX6; P01024; Q9BXR6"
"ME/CFS only",13,"P13473; P19823; Q68D85; P22792; P13671; P12259; Q9NZP8; P02745; P01009; P07357; Q9UGM5; Q08380; P43251"
"Common",63,"P04114; P02763; P10909; P10721; P01871; P00748; P05156; P01008; P00734; O75882; P08571; P43652; P0DOX5; P01861; P20851; P01859; P05155; P00736; P08603; P25311; P05543; P06276; Q03591; P02749; P0DOX2; Q9Y5Y7; P80108; P29622; P01011; P02751; P98161; P03952; P00738; P49908; P01591; P05090; P00450; P06681; P01042; P0C0L4; P0C0L5; P04004; P05160; P02790; P07358; P02675; P00747; P26045; P27169; P01019; O95445; P02765; P02787; Q14624; P04196; P02760; P49238; P04003; P27918; P04217; P00751; P01023; P02679; P08519"
