"","HC13_Healthy","HC14_Healthy","HC20_Healthy","HC22_Healthy","HC25_Healthy","M1_MECFS","M10_MECFS","M11_MECFS","M12_MECFS","M15_MECFS"
"P06681_FALSE","83.13486","44.38273","81.11455","52.05302","57.59129","69.00644","82.14083","93.23234","57.70689","83.66561"
"P06681_TRUE","16.86514","55.61727","18.88545","47.94698","42.40871","30.99356","17.85917","6.767655","42.29311","16.33439"
"P23142_TRUE","100","100","100","100","100","100","49.0342","100","100","100"
"P23142_FALSE",NA,NA,NA,NA,NA,NA,"50.9658",NA,NA,NA
"P01042_TRUE","100","100","100","100","100","100","100","100","100","100"
"Q15762_FALSE","100",NA,NA,"100",NA,NA,NA,NA,NA,NA
"Q02985_TRUE","100","100","100","100","100","100","100",NA,"100","100"
"Q04756_TRUE","100",NA,NA,NA,"100",NA,"100","100",NA,NA
"P13671_TRUE","100","100","100","100","100","100","100","100","100","100"
"P04004_TRUE","99.62317","77.65365","100","99.80483","98.13943","100","100","100","96.1305","87.04621"
"P04004_FALSE","0.3768312","22.34635",NA,"0.195171","1.860573",NA,NA,NA,"3.869498","12.95379"
"P05160_TRUE","55.45775","37.21441","52.39825","19.79092","51.15654","75.79103","34.03984","50.06698","20.99472","60.35743"
"P05160_FALSE","44.54225","62.78559","47.60175","80.20908","48.84346","24.20897","65.96016","49.93302","79.00528","39.64257"
"P43251_TRUE","100","100","100","100","100","99.35406","100","100","100","100"
"P43251_FALSE",NA,NA,NA,NA,NA,"0.6459355",NA,NA,NA,NA
"P07358_TRUE","100","100","100","100","100","100","100","100","100","100"
"P51884_TRUE","100","91.16009","90.38648","100","100","100","94.00047","100","93.37503","86.7394"
"P51884_FALSE",NA,"8.839914","9.613519",NA,NA,NA,"5.999533",NA,"6.624966","13.2606"
"P0DOX6_FALSE","99.94451","99.18908","99.81716","100","100","98.87721","99.6179","99.82135","99.94425","99.52587"
"P0DOX6_TRUE","0.05549093","0.8109215","0.1828399",NA,NA,"1.122786","0.3821026","0.1786463","0.05575185","0.4741299"
"P02675_FALSE","1.869492","1.656308","1.422724","1.623985","1.682671","1.568763","1.543411","1.431123","1.761534","1.86356"
"P02675_TRUE","98.13051","98.34369","98.57728","98.37602","98.31733","98.43124","98.45659","98.56888","98.23847","98.13644"
"P00747_TRUE","100","100","100","100","100","100","100","100","100","100"
"P26045_TRUE","100","100",NA,"100",NA,NA,"100","100","100","100"
"P19652_TRUE","100","100","100","100","100","100","100","100","100","100"
"P27169_TRUE","100","100","100","100","100","100","100","100","100","100"
"P01019_TRUE","100","100","100","100","100","99.63891","100","97.91934","100","100"
"P01019_FALSE",NA,NA,NA,NA,NA,"0.361094",NA,"2.080658",NA,NA
"O95445_TRUE","100","100","98.67906","100","100","100","96.85568","100","100","93.77025"
"O95445_FALSE",NA,NA,"1.320936",NA,NA,NA,"3.144318",NA,NA,"6.22975"
"P02765_TRUE","100","100","100","100","99.87565","100","100","99.64795","100","100"
"P02765_FALSE",NA,NA,NA,NA,"0.1243513",NA,NA,"0.3520479",NA,NA
"P02787_TRUE","99.42676","99.83837","99.62431","100","99.74361","99.86127","99.35982","99.58454","100","99.29569"
"P02787_FALSE","0.5732364","0.1616332","0.3756861",NA,"0.2563934","0.1387281","0.6401794","0.4154633",NA,"0.7043063"
"Q9UM54_TRUE","100",NA,"100","100",NA,NA,"100","100",NA,NA
"Q14624_TRUE","100","100","100","100","100","98.90467","99.63669","100","100","100"
"Q14624_FALSE",NA,NA,NA,NA,NA,"1.095335","0.3633096",NA,NA,NA
"Q9NZP8_TRUE","100","100","100","100","100","100","100","85.11181","100","100"
